City,Country,StdDev_Temp,n_records
Blagoveshchensk,Russia,16.314404519177458,1186
Heihe,Russia,16.314404519177458,1186
Hailar,China,16.215882604022564,1185
Yakeshi,China,16.215882604022564,1185
Nehe,China,15.969986076405645,1184
Kyzyl,Russia,15.848208220926514,1121
Beian,China,15.64290779763634,1196
Hailun,China,15.64290779763634,1196
Suihua,China,15.64290779763634,1196
Ust Ilimsk,Russia,15.487839651588978,1147
Khabarovsk,Russia,15.391005935907996,1177
Norilsk,Russia,15.37289553045731,1004
Hulan Ergi,China,15.246390195140982,1192
Longjiang,China,15.246390195140982,1192
Ranghulu,China,15.246390195140982,1192
Qiqihar,China,15.246390195140982,1192
Tieli,China,15.239645464124589,1204
Nancha,China,15.239645464124589,1204
Komsomolsk Na Amure,Russia,15.229871777635415,1192
Acheng,China,15.145483522344858,1199
