Country,Year,AvgTemp_Country,co2,co2_per_capita
Denmark,1973,8.476958333333334,59.198,11.788
Turkey,2010,15.511670491803283,318.71,4.345
Kazakhstan,2007,6.44206111111111,225.712,13.884
China,1987,13.282904103576925,2256.629,2.059
China,2006,14.024473337722187,6486.185,4.921
Spain,2006,15.983856666666668,358.869,8.029
Iran,1970,15.95170050761421,91.787,3.149
Iran,1984,15.292149425287352,150.401,3.147
Russia,1979,3.5965053418803428,2049.709,14.873
Russia,1990,4.7871185897435895,2536.284,17.024
Canada,1967,5.011356666666667,281.637,13.8
Canada,1979,5.165126666666667,441.684,18.223
Canada,1996,4.754473333333333,507.775,17.058
United Kingdom,1978,9.089948529411762,604.728,10.765
Saudi Arabia,1986,24.992869047619045,204.571,23.708
Saudi Arabia,1989,24.910457831325303,203.375,20.08
Saudi Arabia,1995,25.470571428571432,274.604,20.664
Saudi Arabia,2011,26.2004756097561,540.236,20.694
Japan,1984,13.019210952380957,940.542,7.813
United States,1996,14.649892347600531,5601.094,20.679
Mexico,2009,21.005427835051545,460.29,4.11
Venezuela,1985,25.390066805845514,101.094,5.79
Ethiopia,1963,20.623518867924524,0.421,0.018
Ethiopia,2008,21.137450980392156,6.418,0.075
Indonesia,1969,26.448572988505763,33.362,0.297
Indonesia,1971,26.067391954022973,38.955,0.328
Indonesia,1988,26.557631972397918,132.649,0.75
Morocco,2002,18.264391666666665,37.31,1.278
Morocco,2007,18.036749999999998,48.913,1.568
France,1980,9.937717592592593,514.509,9.538
Libya,1970,20.065291666666667,32.305,15.512
Brazil,1997,22.87938589840786,306.949,1.842
South Africa,1991,16.876364999999996,326.03,7.821
South Africa,1999,17.51095666666667,374.869,8.022
Syria,1971,18.19817857142857,8.874,1.345
Egypt,2009,22.821508771929825,205.243,2.346
Egypt,2013,23.075453333333336,219.087,2.298
Netherlands,1982,9.95288194444445,133.491,9.313
Portugal,1970,14.812619047619048,15.236,1.757
Portugal,1978,14.884011904761905,22.585,2.363
Portugal,1987,15.694964285714283,31.198,3.119
Portugal,1989,16.154511904761907,40.822,4.082
Ecuador,1960,20.535192307692306,1.762,0.384
Ecuador,1990,21.1751217948718,16.501,1.575
Uzbekistan,1990,13.103947916666668,103.123,5.039
Uzbekistan,1999,13.395552083333335,123.588,5.049
Uzbekistan,2008,13.033531250000001,128.387,4.669
Uzbekistan,2011,13.036739583333334,116.755,4.051
Madagascar,1981,22.294875,1.025,0.11
Chile,1967,11.722371527777776,19.238,2.058
Belgium,1989,11.154857142857143,106.792,10.747
El Salvador,1975,25.329208333333334,2.105,0.511
Romania,1974,9.282003333333336,150.611,7.161
Tanzania,1986,22.927645833333333,2.278,0.098
Turkmenistan,1961,15.316638888888892,12.485,7.364
Israel,1965,19.305564814814815,12.929,5.545
Israel,1985,19.618314814814816,24.613,5.995
Israel,2005,19.85082407407408,56.528,8.402
Paraguay,1962,22.26288333333333,0.392,0.199
Paraguay,1991,23.55465,2.098,0.506
Greece,1963,16.983785714285716,12.239,1.442
Greece,2001,17.567452380952382,105.361,9.717
Vietnam,1980,25.288672222222225,16.789,0.32
Argentina,2010,17.410888020833333,186.121,4.508
Azerbaijan,2012,12.996583333333334,32.77,3.495
Mali,2004,28.67755555555555,1.414,0.108
Thailand,1960,27.31089682539683,3.709,0.138
Thailand,1992,27.064361111111108,105.513,1.867
Bangladesh,1987,25.91487280701754,11.8,0.112
Switzerland,1979,7.666999999999999,39.858,6.332
Switzerland,2001,8.521899999999999,45.085,6.239
Equatorial Guinea,1995,25.82433333333333,1.223,2.142
Cuba,1969,25.904916666666665,17.243,1.99
Cuba,2009,26.199375000000003,28.261,2.502
Mozambique,1979,23.714777777777783,2.635,0.239
Angola,1975,21.685614285714284,4.409,0.644
Angola,1979,22.151434782608696,5.489,0.7
Angola,1987,22.62478873239436,5.786,0.551
Nepal,1991,18.36036904761905,1.026,0.051
Poland,1968,8.21421238938053,275.794,8.597
Poland,1970,7.549870454545455,304.169,9.347
Poland,2006,9.018469298245614,336.387,8.836
Poland,2010,7.747337719298247,334.028,8.768
Ukraine,1976,6.822638888888889,601.716,12.25
Burkina Faso,1967,27.690375000000007,0.103,0.019
Congo,1978,24.085833333333337,0.322,0.184
Congo,1988,24.449583333333337,1.493,0.664
Belarus,1986,6.273374999999998,121.533,12.148
Belarus,1996,5.9161874999999995,61.844,6.085
Gambia,2006,25.84516666666666,0.348,0.203
Burundi,1962,20.513499999999997,0.044,0.015
Burundi,1980,21.28316666666667,0.147,0.033
Burundi,2000,21.31625,0.271,0.042
Burundi,2003,21.652583333333336,0.169,0.024
Zimbabwe,1970,20.49746428571429,8.154,1.563
